seed,run,variant,success,waypoints_reached,collisions,min_clearance_m,mission_time_s,path_length_m,max_speed_mps
seed5,3,planninghorizon14_v10_full,False,1,1,0.15,85.0,34.641,9.96
seed5,4,planninghorizon14_v10_full,False,0,0,0.343,85.0,13.435,7.723
seed5,5,planninghorizon14_v10_full,False,1,0,0.381,85.01,49.271,9.974
seed6,1,planninghorizon14_v10_full,False,1,0,0.274,85.01,50.85,9.976
seed6,2,planninghorizon14_v10_full,True,5,2,0.013,73.97,215.926,9.963
seed6,3,planninghorizon14_v10_full,False,1,2,0.008,85.01,58.135,9.983
seed6,4,planninghorizon14_v10_full,False,4,6,0.014,85.0,199.155,9.946
seed6,5,planninghorizon14_v10_full,False,1,6,0.008,85.0,58.178,9.982
seed7,1,planninghorizon14_v10_full,False,3,2,0.018,85.01,167.461,9.902
seed7,2,planninghorizon14_v10_full,False,1,3,0.024,85.01,45.618,9.897
seed7,3,planninghorizon14_v10_full,False,0,3,0.011,85.0,19.019,9.978
seed7,4,planninghorizon14_v10_full,False,0,0,0.294,85.01,14.168,9.751
seed7,5,planninghorizon14_v10_full,False,2,3,0.006,85.0,116.052,9.972
seed8,1,planninghorizon14_v10_full,False,0,2,0.007,85.0,12.508,9.96
seed8,2,planninghorizon14_v10_full,False,2,5,0.057,85.01,90.918,9.991
seed8,3,planninghorizon14_v10_full,False,2,7,0.017,85.01,114.359,9.987
seed8,4,planninghorizon14_v10_full,False,1,6,0.015,85.01,53.56,9.925
seed8,5,planninghorizon14_v10_full,False,0,0,1.013,85.01,9.207,9.613
seed9,1,planninghorizon14_v10_full,False,0,1,0.061,85.01,6.587,9.977
seed9,2,planninghorizon14_v10_full,False,2,11,0.002,85.01,114.226,9.988
seed9,3,planninghorizon14_v10_full,False,2,2,0.006,85.0,75.352,9.961
seed9,4,planninghorizon14_v10_full,False,3,6,0.006,85.0,148.075,9.957
seed9,5,planninghorizon14_v10_full,False,2,4,0.009,85.0,80.56,9.984
seed10,1,planninghorizon14_v10_full,False,2,1,0.185,85.0,108.784,9.978
seed10,2,planninghorizon14_v10_full,False,1,1,0.124,85.0,30.732,10.0
seed10,3,planninghorizon14_v10_full,False,2,3,0.165,85.0,90.866,9.974
seed10,4,planninghorizon14_v10_full,False,0,1,0.003,85.0,4.145,9.655
seed10,5,planninghorizon14_v10_full,False,1,4,0.005,85.0,34.729,9.965
seed1,1,obsskipnum1_v10_full,True,5,0,0.274,26.92,213.961,10.0
seed1,2,obsskipnum1_v10_full,True,5,0,0.393,26.48,215.053,10.0
seed1,3,obsskipnum1_v10_full,True,5,0,0.4,26.19,216.662,9.999
seed1,4,obsskipnum1_v10_full,True,5,1,0.135,26.31,214.388,10.0
seed1,5,obsskipnum1_v10_full,True,5,1,0.024,26.67,215.857,9.999
seed2,1,obsskipnum1_v10_full,True,5,0,0.379,27.56,221.309,10.0
seed2,2,obsskipnum1_v10_full,True,5,0,0.354,26.43,216.142,10.001
seed2,3,obsskipnum1_v10_full,True,5,0,0.355,27.05,214.237,9.998
seed2,4,obsskipnum1_v10_full,True,5,0,0.522,25.2,213.865,9.999
seed2,5,obsskipnum1_v10_full,True,5,0,0.456,25.44,217.425,9.999
seed3,1,obsskipnum1_v10_full,True,5,0,0.396,25.22,213.504,9.997
seed3,2,obsskipnum1_v10_full,True,5,0,0.392,26.59,215.369,9.974
seed3,3,obsskipnum1_v10_full,True,5,0,0.405,26.11,216.078,10.0
seed3,4,obsskipnum1_v10_full,True,5,0,0.368,26.59,215.713,10.0
seed3,5,obsskipnum1_v10_full,True,5,1,0.103,26.49,218.907,9.993
seed4,1,obsskipnum1_v10_full,True,5,1,0.185,25.84,213.054,10.0
seed4,2,obsskipnum1_v10_full,True,5,3,0.002,27.82,215.53,10.0
seed4,3,obsskipnum1_v10_full,True,5,5,0.019,25.57,211.257,9.994
seed4,4,obsskipnum1_v10_full,True,5,0,0.314,25.88,214.309,10.0
seed4,5,obsskipnum1_v10_full,True,5,1,0.031,26.74,215.777,10.0
seed5,1,obsskipnum1_v10_full,True,5,0,0.373,27.37,214.977,10.0
seed5,2,obsskipnum1_v10_full,True,5,3,0.021,27.85,214.68,9.999
seed5,3,obsskipnum1_v10_full,True,5,0,0.406,27.53,221.17,10.0
seed5,4,obsskipnum1_v10_full,True,5,1,0.118,29.48,221.916,10.0
seed5,5,obsskipnum1_v10_full,True,5,2,0.153,25.81,214.608,10.0
seed6,1,obsskipnum1_v10_full,True,5,5,0.011,26.95,218.449,10.0
seed6,2,obsskipnum1_v10_full,True,5,1,0.07,28.69,214.161,9.997
seed6,3,obsskipnum1_v10_full,True,5,8,0.018,25.54,216.377,10.0
seed6,4,obsskipnum1_v10_full,True,5,6,0.019,26.14,216.909,10.0
