map,run,mode,success,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,samples,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,fsm_cpu_pct,filter_cpu_pct,perf_row_start,perf_row_end
seed5,2,sector,True,38.32,5,5,0,0.517,3822,3052.102827763496,0.7224777789203085,0.21533518766066836,0.5059514344473007,0.26099381748071976,31,80.28571665971958,7.76785603172127,0,389
seed5,2,adaptive,True,37.44,5,5,0,0.555,3736,3076.1536458333335,0.763199296875,0.22877450520833334,0.5330806432291667,0.2760087708333333,30,81.8842731291578,7.758377410379971,0,384
seed5,3,full,True,38.86,5,5,0,0.443,3880,10003.61757105943,1.7311689741602068,0.6727268552971577,1.0569967028423772,0.42859870801033595,,85.02149158792072,7.684273956959278,0,387
seed5,3,sector,True,39.05,5,5,0,0.523,3902,3086.930412371134,0.7695658067010309,0.22967165979381443,0.5384521572164949,0.27858815979381446,32,85.69950293185545,7.757583923502524,0,388
seed5,3,adaptive,True,39.0,5,5,0,0.487,3892,3052.4227848101264,0.7422252556962025,0.21688104050632911,0.524019675949367,0.27160064556962027,31,80.75223988331425,7.541785461951815,0,395
seed5,4,full,True,38.67,5,5,0,0.531,3859,9856.179948586117,1.790378498714653,0.6966773470437018,1.0921797814910026,0.4484868046272494,,84.88519178985015,7.221364246031844,0,389
seed5,4,sector,True,38.05,5,5,0,0.519,3802,3109.535064935065,0.741702625974026,0.2184450077922078,0.5219345116883116,0.2734814103896104,31,82.37687729705785,8.005849560258175,0,385
seed5,4,adaptive,True,38.27,5,5,0,0.545,3819,3144.6370757180157,0.713161093994778,0.21198410704960835,0.5000491227154047,0.25991120626631853,32,82.49018926125119,8.143169758883772,0,383
seed5,5,full,True,39.44,5,5,0,0.532,3943,9653.721227621483,1.7274424040920717,0.6613326317135549,1.0644071739130436,0.44469009207161125,,82.22416110867093,7.332117682548739,0,391
seed5,5,sector,True,38.65,5,5,0,0.5,3860,3231.5578406169666,0.7017496118251928,0.22174531876606685,0.4786693573264782,0.2425464267352185,33,82.72268589527049,8.396763097699717,0,389
seed5,5,adaptive,True,37.53,5,5,0,0.588,3750,3149.136,0.7735228453333333,0.22471536,0.5474058213333333,0.28597196266666663,32,81.44492602375357,7.67120561095132,0,375
seed6,1,full,True,39.42,5,5,0,0.65,3937,8883.252955082742,1.6727269929078015,0.6516692151300236,1.019651021276596,0.4197405342789598,,83.69008548417612,7.541438013925026,0,423
