map,run,mode,success,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,samples,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,perf_row_start,perf_row_end
seed5,2,sector,True,27.57,5,5,0,0.531,2744,6567.53488372093,1.7846092325581395,0.38527806976744183,1.3980147209302325,0.8590993953488372,29,0,86
seed5,2,adaptive,True,26.77,5,5,0,0.446,2639,7255.778761061947,1.9808640530973451,0.4399414867256637,1.5393226283185841,0.9305755840707965,30,0,113
seed5,3,full,True,27.27,5,5,0,0.456,2694,22119.54,5.4754848,1.34781452,4.126111,2.35570654,,0,50
seed5,3,sector,True,27.32,5,5,0,0.487,2670,6516.0,2.0267401627906976,0.3965280348837209,1.6288012209302325,1.0183911511627906,28,0,86
seed5,3,adaptive,True,27.11,5,5,0,0.395,2699,6588.987951807229,2.1012388192771083,0.43402089156626505,1.6655656506024095,1.026695951807229,28,0,83
seed5,4,full,True,26.64,5,5,0,0.548,2632,23193.01818181818,5.351277818181818,1.3619889636363636,3.9875534545454547,2.2468364363636364,,0,55
seed5,4,sector,True,27.51,5,5,0,0.473,2722,6543.441860465116,1.8272433139534883,0.38338334883720926,1.4425310348837208,0.8771191279069768,30,0,86
seed5,4,adaptive,True,28.23,5,5,0,0.468,2785,6749.014388489209,1.79845145323741,0.4420553525179856,1.354936582733813,0.7909870215827338,30,0,139
seed5,5,full,True,27.33,5,5,0,0.478,2720,21871.17777777778,6.0755304444444445,1.3575604666666667,4.7163962222222215,2.8300489333333334,,0,45
seed5,5,sector,True,27.91,5,5,0,0.47,2758,7468.828571428571,2.073685757142857,0.40396622857142855,1.6684235142857142,1.0623147714285714,31,0,70
seed5,5,adaptive,True,27.09,5,5,0,0.476,2690,6802.930232558139,1.8478556162790696,0.37882167441860465,1.4677359651162791,0.8894516976744187,29,0,86
seed6,1,full,True,26.27,5,5,0,0.527,2599,24554.90243902439,6.176686585365854,1.4618369999999998,4.713031463414635,2.760838975609756,,0,41
seed6,1,sector,True,26.21,5,5,0,0.405,2569,7847.542857142857,2.3055201857142857,0.4652350857142857,1.838977,1.1697143142857143,30,0,70
seed6,1,adaptive,True,26.31,5,5,0,0.469,2594,7550.155555555555,2.1859965555555556,0.49203551111111116,1.6924615555555556,1.043316088888889,28,0,90
seed6,2,full,True,25.88,5,5,0,0.456,2557,23980.333333333332,6.1636066666666665,1.4342633095238095,4.727742380952381,2.727462833333333,,0,42
seed6,2,sector,True,26.74,5,5,0,0.373,2550,7749.603448275862,2.2585909310344827,0.4255962586206896,1.8316318620689656,1.1555556896551724,32,0,58
seed6,2,adaptive,True,26.41,5,5,0,0.473,2610,7164.263636363637,1.9856898545454544,0.4581263181818182,1.5260302636363636,0.9222552545454545,27,0,110
seed6,3,full,True,26.71,5,5,0,0.488,2598,24707.8,5.301915076923077,1.4683556,3.8319866153846154,2.1088639846153847,,0,65
seed6,3,sector,True,26.18,5,5,0,0.384,2606,6957.149425287356,2.057871126436782,0.45004675862068966,1.6064420574712643,0.9741658735632185,28,0,87
seed6,3,adaptive,True,26.21,5,5,0,0.496,2572,7533.121212121212,2.107835878787879,0.410328,1.696132196969697,1.0690736363636364,30,0,66
seed6,4,full,True,27.22,5,5,0,0.511,2692,25928.125,5.779605833333333,1.4817350208333333,4.2963000000000005,2.4292370208333334,,0,48
seed6,4,sector,True,26.87,5,5,0,0.308,2647,8102.894117647059,2.347423705882353,0.5223626588235294,1.8234728941176472,1.1106533411764705,31,0,85
seed6,4,adaptive,True,26.6,5,5,0,0.527,2622,7272.4125,1.9693701875,0.42046100000000003,1.5475442750000001,0.9103919125000001,29,0,80
seed6,5,full,True,26.42,5,5,0,0.522,2612,25411.977272727272,5.6808213636363645,1.3630229772727274,4.316389545454546,2.4644939772727277,,0,44
seed6,5,sector,True,26.56,5,5,0,0.424,2613,7274.828125,2.320343125,0.438894359375,1.8797177968749998,1.206670828125,30,0,64
seed6,5,adaptive,True,26.64,5,5,0,0.446,2529,7226.671232876713,2.2243929315068494,0.4430101369863014,1.779806,1.1125520273972602,29,0,73
seed7,1,full,True,27.21,5,5,0,0.598,2720,13815.672413793103,2.8170597126436783,0.9724901264367817,1.843173132183908,0.8239441666666667,,0,174
seed7,1,sector,True,26.91,5,5,0,0.558,2684,4703.349112426035,1.2639290828402365,0.32627515384615385,0.9361643905325444,0.5208834733727811,29,0,169
seed7,1,adaptive,True,26.77,5,5,0,0.505,2675,4591.488095238095,1.2686362083333333,0.3235568154761905,0.9437498095238096,0.5281411011904762,30,0,168
seed7,2,full,True,25.46,5,5,0,0.432,2545,13954.630136986301,2.9735237671232877,0.9468039452054795,2.0251585273972603,0.9470980273972603,,0,146
seed7,2,sector,True,27.15,5,5,0,0.422,2714,4968.738317757009,1.1638277570093456,0.32284155607476633,0.8396880747663551,0.45401892056074766,29,0,214
seed7,2,adaptive,True,27.05,5,5,0,0.393,2705,4566.786885245901,1.1587325519125684,0.3066478360655738,0.850755043715847,0.46326539890710383,29,0,183
seed7,3,full,True,26.42,5,5,0,0.548,2636,13977.969135802468,2.86871,0.9486089567901235,1.918593524691358,0.8904453148148148,,0,162
seed7,3,sector,True,26.55,5,5,0,0.403,2650,4445.040229885058,1.1947110632183908,0.30644121839080457,0.886753764367816,0.48650406896551723,28,0,174
seed7,3,adaptive,True,26.31,5,5,0,0.526,2625,4553.813253012048,1.1921061987951806,0.2984006204819277,0.8924082349397591,0.49935507831325304,29,0,166
seed7,4,full,True,26.76,5,5,0,0.535,2670,14428.527777777777,2.707603888888889,0.9339353388888888,1.772164488888889,0.7883941222222223,,0,180
seed7,4,sector,True,26.53,5,5,0,0.529,2648,4636.03825136612,1.2280130655737704,0.3228039945355191,0.9036924699453552,0.4972561967213115,29,0,183
seed7,4,adaptive,True,25.82,5,5,0,0.538,2575,4495.623529411765,1.2445141882352941,0.30585325882352943,0.9372169294117647,0.5265862470588235,30,0,170
seed7,5,full,True,26.93,5,5,0,0.496,2692,13621.722891566265,2.788572108433735,0.9494984096385543,1.8374590662650603,0.8369299819277108,,0,166
seed7,5,sector,True,26.51,5,5,0,0.576,2642,4993.62331838565,1.1250722511210762,0.33129634977578476,0.7923744304932735,0.42127001793721974,29,0,223
seed7,5,adaptive,True,27.1,5,5,0,0.556,2708,4664.929292929293,1.138806808080808,0.30247834848484845,0.8350580656565656,0.44937468686868687,29,0,198
seed8,1,full,True,26.66,5,5,0,0.463,2635,14872.32558139535,2.8358781395348838,0.9698577209302326,1.8643637325581395,0.8152259825581395,,0,172
seed8,1,sector,True,26.95,5,5,0,0.481,2620,4590.777202072539,1.2368994715025907,0.31698869948186525,0.9184823989637305,0.5061774559585492,30,0,193
seed8,1,adaptive,True,27.5,5,5,0,0.631,2692,4802.514851485149,1.2667385643564355,0.3335056188118812,0.9318651435643565,0.5110743465346534,31,0,202
seed8,2,full,True,28.18,5,5,0,0.519,2762,14443.255434782608,2.7467880978260872,0.9479023423913043,1.7974939673913042,0.7920431032608696,,0,184
seed8,2,sector,True,28.42,5,5,0,0.526,2740,4650.5291262135925,1.2168423834951456,0.32332187378640775,0.8921935970873787,0.47797359708737863,30,0,206
seed8,2,adaptive,True,28.27,5,5,0,0.5,2732,4913.904564315353,1.131773601659751,0.32724865975103734,0.8032470248962655,0.41568402904564317,31,0,241
seed8,3,full,True,28.6,5,5,0,0.512,2812,14695.439560439561,2.826966098901099,0.9819451923076923,1.8433293846153846,0.8143864835164836,,0,182
seed8,3,sector,True,27.29,5,5,0,0.624,2672,4453.939534883721,1.171126381395349,0.317920511627907,0.8509742790697674,0.4522728558139535,29,0,215
seed8,3,adaptive,True,27.32,5,5,0,0.465,2692,4863.773584905661,1.145161466981132,0.3131520047169811,0.8306072971698113,0.44119643396226416,32,0,212
seed8,4,full,True,27.31,5,5,0,0.563,2686,14530.2,2.8174673714285716,0.9598578971428571,1.856049697142857,0.8330865942857143,,0,175
seed8,4,sector,True,27.67,5,5,0,0.504,2766,4664.653658536586,1.1874474292682926,0.3174647658536585,0.8685775853658537,0.462045912195122,30,0,205
seed8,4,adaptive,True,27.46,5,5,0,0.55,2712,4659.84693877551,1.2718527857142856,0.32382847959183675,0.9466700306122449,0.5153111785714285,31,0,196
seed8,5,full,True,27.84,5,5,0,0.454,2667,14835.376344086022,2.8217939247311827,0.9843997311827957,1.8359823333333332,0.8188219784946236,,0,186
seed8,5,sector,True,27.4,5,5,0,0.574,2688,4413.674876847291,1.1271711379310343,0.29746188177339905,0.8284106699507389,0.44680906403940884,30,0,203
seed8,5,adaptive,True,29.23,5,5,0,0.565,2877,4724.785365853659,1.1605480780487805,0.3076908731707317,0.8515762195121952,0.4562685073170732,31,0,205
seed9,1,full,True,26.42,5,5,0,0.566,2619,15513.194630872484,2.979966912751678,0.9698605906040269,2.008646402684564,0.917854932885906,,0,149
seed9,1,sector,True,25.99,5,5,0,0.523,2574,4900.986842105263,1.3013582894736841,0.32663790131578946,0.9733877039473684,0.5448599868421052,31,0,152
seed9,1,adaptive,True,26.71,5,5,0,0.546,2594,4941.767741935484,1.3141066322580646,0.319290070967742,0.9936636645161291,0.5659764774193549,30,0,155
seed9,2,full,True,26.52,5,5,0,0.595,2629,15552.934782608696,3.166165797101449,0.9875489492753623,2.1770221231884057,1.0180626304347826,,0,138
